DATE,PCU324122324122
1975-12-01,58.4
1976-01-01,58.5
1976-02-01,58.6
1976-03-01,60.4
1976-04-01,61.1
1976-05-01,60.6
1976-06-01,60.6
1976-07-01,60.6
1976-08-01,63.2
1976-09-01,62.7
1976-10-01,62.8
1976-11-01,61.1
1976-12-01,59.9
1977-01-01,59.1
1977-02-01,59.1
1977-03-01,62.3
1977-04-01,62.3
1977-05-01,62.3
1977-06-01,63.1
1977-07-01,64.9
1977-08-01,65.0
1977-09-01,68.5
1977-10-01,70.6
1977-11-01,70.6
1977-12-01,70.6
1978-01-01,71.1
1978-02-01,71.1
1978-03-01,71.2
1978-04-01,73.8
1978-05-01,73.8
1978-06-01,74.2
1978-07-01,75.7
1978-08-01,76.3
1978-09-01,76.3
1978-10-01,78.2
1978-11-01,78.2
1978-12-01,78.2
1979-01-01,78.6
1979-02-01,81.3
1979-03-01,77.5
1979-04-01,80.9
1979-05-01,81.3
1979-06-01,82.6
1979-07-01,83.8
1979-08-01,83.3
1979-09-01,85.1
1979-10-01,86.2
1979-11-01,88.9
1979-12-01,88.7
1980-01-01,91.1
1980-02-01,95.0
1980-03-01,99.2
1980-04-01,104.0
1980-05-01,102.0
1980-06-01,102.2
1980-07-01,105.6
1980-08-01,104.9
1980-09-01,104.1
1980-10-01,104.2
1980-11-01,101.3
1980-12-01,100.7
1981-01-01,100.6
1981-02-01,99.2
1981-03-01,99.0
1981-04-01,105.3
1981-05-01,102.9
1981-06-01,108.4
1981-07-01,106.7
1981-08-01,106.4
1981-09-01,101.7
1981-10-01,102.1
1981-11-01,104.0
1981-12-01,102.8
1982-01-01,101.7
1982-02-01,101.5
1982-03-01,99.9
1982-04-01,98.1
1982-05-01,98.3
1982-06-01,101.0
1982-07-01,101.9
1982-08-01,101.8
1982-09-01,105.3
1982-10-01,103.4
1982-11-01,101.4
1982-12-01,100.9
1983-01-01,100.1
1983-02-01,96.8
1983-03-01,95.2
1983-04-01,97.4
1983-05-01,96.3
1983-06-01,96.2
1983-07-01,97.7
1983-08-01,97.1
1983-09-01,98.0
1983-10-01,98.3
1983-11-01,98.4
1983-12-01,97.5
1984-01-01,97.7
1984-02-01,99.6
1984-03-01,97.9
1984-04-01,100.4
1984-05-01,101.1
1984-06-01,100.0
1984-07-01,100.3
1984-08-01,103.6
1984-09-01,103.4
1984-10-01,103.8
1984-11-01,104.3
1984-12-01,104.8
1985-01-01,104.4
1985-02-01,104.0
1985-03-01,103.7
1985-04-01,105.1
1985-05-01,105.2
1985-06-01,104.6
1985-07-01,104.6
1985-08-01,104.2
1985-09-01,103.8
1985-10-01,103.5
1985-11-01,104.4
1985-12-01,104.0
1986-01-01,103.6
1986-02-01,103.7
1986-03-01,102.3
1986-04-01,100.8
1986-05-01,100.7
1986-06-01,98.9
1986-07-01,98.7
1986-08-01,99.1
1986-09-01,98.5
1986-10-01,98.0
1986-11-01,97.1
1986-12-01,96.5
1987-01-01,94.3
1987-02-01,94.1
1987-03-01,93.2
1987-04-01,94.0
1987-05-01,94.0
1987-06-01,93.5
1987-07-01,93.6
1987-08-01,95.3
1987-09-01,95.9
1987-10-01,97.0
1987-11-01,97.5
1987-12-01,97.5
1988-01-01,96.5
1988-02-01,95.4
1988-03-01,96.2
1988-04-01,95.4
1988-05-01,95.7
1988-06-01,97.0
1988-07-01,97.9
1988-08-01,97.8
1988-09-01,98.3
1988-10-01,98.6
1988-11-01,97.6
1988-12-01,97.0
1989-01-01,96.7
1989-02-01,96.7
1989-03-01,96.3
1989-04-01,97.8
1989-05-01,97.4
1989-06-01,97.9
1989-07-01,97.9
1989-08-01,97.8
1989-09-01,98.0
1989-10-01,98.4
1989-11-01,98.4
1989-12-01,99.0
1990-01-01,99.0
1990-02-01,97.3
1990-03-01,97.1
1990-04-01,97.1
1990-05-01,97.0
1990-06-01,96.6
1990-07-01,96.0
1990-08-01,97.5
1990-09-01,98.1
1990-10-01,101.7
1990-11-01,104.1
1990-12-01,104.2
1991-01-01,102.5
1991-02-01,102.1
1991-03-01,102.5
1991-04-01,101.6
1991-05-01,100.4
1991-06-01,100.9
1991-07-01,100.9
1991-08-01,99.3
1991-09-01,99.6
1991-10-01,99.5
1991-11-01,98.9
1991-12-01,98.6
1992-01-01,98.3
1992-02-01,98.1
1992-03-01,97.9
1992-04-01,97.6
1992-05-01,97.9
1992-06-01,98.2
1992-07-01,98.6
1992-08-01,98.5
1992-09-01,98.7
1992-10-01,99.7
1992-11-01,100.4
1992-12-01,100.1
1993-01-01,100.4
1993-02-01,99.8
1993-03-01,100.1
1993-04-01,99.4
1993-05-01,99.2
1993-06-01,99.3
1993-07-01,99.5
1993-08-01,99.7
1993-09-01,99.1
1993-10-01,98.8
1993-11-01,98.2
1993-12-01,98.3
1994-01-01,98.3
1994-02-01,98.0
1994-03-01,97.2
1994-04-01,97.3
1994-05-01,97.6
1994-06-01,97.8
1994-07-01,97.9
1994-08-01,98.4
1994-09-01,98.2
1994-10-01,98.3
1994-11-01,98.5
1994-12-01,98.5
1995-01-01,98.8
1995-02-01,99.0
1995-03-01,100.2
1995-04-01,101.9
1995-05-01,103.0
1995-06-01,103.5
1995-07-01,103.7
1995-08-01,103.3
1995-09-01,103.3
1995-10-01,103.4
1995-11-01,103.3
1995-12-01,103.0
1996-01-01,103.1
1996-02-01,102.7
1996-03-01,103.4
1996-04-01,103.1
1996-05-01,103.7
1996-06-01,102.8
1996-07-01,103.2
1996-08-01,103.3
1996-09-01,103.6
1996-10-01,103.5
1996-11-01,103.8
1996-12-01,103.2
1997-01-01,103.2
1997-02-01,103.5
1997-03-01,103.1
1997-04-01,103.9
1997-05-01,103.9
1997-06-01,104.2
1997-07-01,104.6
1997-08-01,104.8
1997-09-01,104.6
1997-10-01,104.0
1997-11-01,103.3
1997-12-01,102.9
1998-01-01,102.8
1998-02-01,102.6
1998-03-01,102.5
1998-04-01,103.2
1998-05-01,103.6
1998-06-01,103.5
1998-07-01,103.9
1998-08-01,104.2
1998-09-01,104.4
1998-10-01,104.5
1998-11-01,104.2
1998-12-01,103.5
1999-01-01,103.2
1999-02-01,103.2
1999-03-01,102.6
1999-04-01,103.7
1999-05-01,103.0
1999-06-01,102.4
1999-07-01,102.8
1999-08-01,103.3
1999-09-01,103.8
1999-10-01,103.8
1999-11-01,104.6
1999-12-01,104.8
2000-01-01,104.8
2000-02-01,104.0
2000-03-01,105.4
2000-04-01,107.5
2000-05-01,108.6
2000-06-01,109.3
2000-07-01,110.1
2000-08-01,110.4
2000-09-01,108.6
2000-10-01,109.5
2000-11-01,108.9
2000-12-01,109.3
2001-01-01,108.8
2001-02-01,108.5
2001-03-01,108.6
2001-04-01,109.7
2001-05-01,109.9
2001-06-01,110.9
2001-07-01,111.9
2001-08-01,112.1
2001-09-01,113.2
2001-10-01,114.5
2001-11-01,114.6
2001-12-01,114.5
2002-01-01,114.7
2002-02-01,114.4
2002-03-01,113.7
2002-04-01,113.5
2002-05-01,115.9
2002-06-01,116.1
2002-07-01,115.5
2002-08-01,116.7
2002-09-01,115.5
2002-10-01,115.1
2002-11-01,114.0
2002-12-01,113.1
2003-01-01,113.9
2003-02-01,114.1
2003-03-01,118.9
2003-04-01,121.8
2003-05-01,123.9
2003-06-01,123.2
2003-07-01,122.7
2003-08-01,121.8
2003-09-01,121.0
2003-10-01,120.5
2003-11-01,121.4
2003-12-01,120.4
2004-01-01,119.5
2004-02-01,119.1
2004-03-01,118.2
2004-04-01,120.4
2004-05-01,121.9
2004-06-01,120.3
2004-07-01,121.7
2004-08-01,121.6
2004-09-01,123.2
2004-10-01,122.6
2004-11-01,125.9
2004-12-01,124.9
2005-01-01,123.1
2005-02-01,125.6
2005-03-01,126.1
2005-04-01,131.8
2005-05-01,132.6
2005-06-01,132.5
2005-07-01,136.2
2005-08-01,136.4
2005-09-01,137.5
2005-10-01,139.4
2005-11-01,142.7
2005-12-01,142.4
2006-01-01,144.6
2006-02-01,143.7
2006-03-01,143.4
2006-04-01,146.0
2006-05-01,144.7
2006-06-01,146.7
2006-07-01,148.3
2006-08-01,149.4
2006-09-01,152.1
2006-10-01,152.2
2006-11-01,148.7
2006-12-01,149.8
2007-01-01,151.7
2007-02-01,150.6
2007-03-01,147.2
2007-04-01,148.1
2007-05-01,147.8
2007-06-01,147.5
2007-07-01,148.7
2007-08-01,150.4
2007-09-01,148.5
2007-10-01,148.6
2007-11-01,148.6
2007-12-01,152.2
2008-01-01,148.1
2008-02-01,145.5
2008-03-01,147.2
2008-04-01,155.7
2008-05-01,160.2
2008-06-01,170.5
2008-07-01,189.2
2008-08-01,205.7
2008-09-01,215.2
2008-10-01,226.2
2008-11-01,226.6
2008-12-01,235.0
2009-01-01,231.1
2009-02-01,209.1
2009-03-01,222.3
2009-04-01,225.0
2009-05-01,222.8
2009-06-01,221.0
2009-07-01,219.2
2009-08-01,213.3
2009-09-01,216.8
2009-10-01,217.5
2009-11-01,216.6
2009-12-01,216.2
2010-01-01,212.6
2010-02-01,214.8
2010-03-01,218.9
2010-04-01,221.9
2010-05-01,223.1
2010-06-01,224.7
2010-07-01,225.5
2010-08-01,223.4
2010-09-01,221.0
2010-10-01,218.9
2010-11-01,219.1
2010-12-01,220.4
2011-01-01,219.6
2011-02-01,220.7
2011-03-01,218.1
2011-04-01,222.2
2011-05-01,229.6
2011-06-01,233.9
2011-07-01,243.6
2011-08-01,243.7
2011-09-01,241.8
2011-10-01,238.6
2011-11-01,231.6
2011-12-01,233.6
2012-01-01,233.5
2012-02-01,222.4
2012-03-01,218.5
2012-04-01,226.4
2012-05-01,231.3
2012-06-01,237.3
2012-07-01,237.7
2012-08-01,234.8
2012-09-01,238.5
2012-10-01,238.8
2012-11-01,234.1
2012-12-01,233.2
2013-01-01,232.9
2013-02-01,231.3
2013-03-01,230.7
2013-04-01,238.5
2013-05-01,240.7
2013-06-01,242.8
2013-07-01,241.5
2013-08-01,242.3
2013-09-01,244.8
2013-10-01,242.1
2013-11-01,233.1
2013-12-01,231.6
2014-01-01,230.4
2014-02-01,229.7
2014-03-01,233.1
2014-04-01,235.7
2014-05-01,234.8
2014-06-01,234.0
2014-07-01,232.4
2014-08-01,230.0
2014-09-01,229.0
2014-10-01,237.4
2014-11-01,236.3
2014-12-01,236.7
2015-01-01,236.3
2015-02-01,233.7
2015-03-01,232.1
2015-04-01,232.0
2015-05-01,228.9
2015-06-01,230.2
2015-07-01,230.5
2015-08-01,232.8
2015-09-01,230.9
2015-10-01,230.5
2015-11-01,229.6
2015-12-01,230.9
2016-01-01,228.7
2016-02-01,228.0
2016-03-01,228.0
2016-04-01,229.8
2016-05-01,228.9
2016-06-01,231.0
2016-07-01,231.8
2016-08-01,233.0
2016-09-01,228.7
2016-10-01,230.6
2016-11-01,228.2
2016-12-01,229.0
2017-01-01,228.7
2017-02-01,224.0
2017-03-01,225.9
2017-04-01,228.9
2017-05-01,226.3
2017-06-01,228.3
2017-07-01,229.2
2017-08-01,229.2
2017-09-01,230.6
2017-10-01,230.9
2017-11-01,230.6
2017-12-01,232.0
2018-01-01,232.5
2018-02-01,226.1
2018-03-01,227.8
2018-04-01,235.6
2018-05-01,240.2
2018-06-01,243.3
2018-07-01,241.7
2018-08-01,245.1
2018-09-01,250.6
2018-10-01,254.1
2018-11-01,251.6
2018-12-01,255.3
2019-01-01,253.5
2019-02-01,252.1
2019-03-01,245.6
2019-04-01,250.4
2019-05-01,252.8
2019-06-01,250.9
2019-07-01,251.1
2019-08-01,252.1
2019-09-01,250.4
2019-10-01,250.2
2019-11-01,254.0
2019-12-01,254.3
2020-01-01,255.2
2020-02-01,253.0
2020-03-01,256.6
2020-04-01,253.7
2020-05-01,251.1
2020-06-01,252.8
2020-07-01,257.6
2020-08-01,255.9
2020-09-01,261.2
2020-10-01,253.6
2020-11-01,260.2
2020-12-01,259.3
2021-01-01,261.5
2021-02-01,261.0
2021-03-01,264.4
2021-04-01,270.5
2021-05-01,278.2
2021-06-01,280.8
2021-07-01,282.903
2021-08-01,292.183
2021-09-01,293.858
2021-10-01,293.451
2021-11-01,301.275
2021-12-01,304.853
2022-01-01,309.058
2022-02-01,316.320
2022-03-01,320.551
2022-04-01,324.122
2022-05-01,327.813
2022-06-01,332.984
2022-07-01,332.666
2022-08-01,334.391
2022-09-01,336.691
2022-10-01,336.819
2022-11-01,338.746
2022-12-01,339.805
2023-01-01,330.741
2023-02-01,329.971
2023-03-01,330.313
2023-04-01,337.234
2023-05-01,338.845
2023-06-01,344.756
2023-07-01,348.275
2023-08-01,344.615
2023-09-01,346.847
2023-10-01,349.136
2023-11-01,347.647
2023-12-01,348.623
2024-01-01,347.470
2024-02-01,350.100
2024-03-01,350.457
2024-04-01,343.744
2024-05-01,352.296
2024-06-01,350.378
2024-07-01,351.621
2024-08-01,347.633
2024-09-01,350.572
