,Virginia,California,Florida,New York,New Jersey,Texas,Michigan,Massachusetts,Arizona,Washington,Colorado,Illinois,the District of Columbia,Nevada,Hawaii,New Hampshire,Utah,Georgia,Montana,Minnesota,Louisiana,Maryland,Pennsylvania,South Carolina,North Carolina,Vermont,Tennessee,Oregon,New Mexico,Rhode Island,Alaska,Maine,Alabama,Wisconsin,Arkansas,Mississippi,Indiana,West Virginia,Idaho,North Dakota,Connecticut,Kentucky,Missouri,Kansas,Delaware,Wyoming,Oklahoma,South Dakota,Nebraska,Iowa,Ohio
2000-01-01,123345.4736138926,187686.83417364547,106914.485630958,152590.5184134829,168867.67921186014,111067.06620880519,117182.27764779709,194441.91733016356,134673.8322370276,174500.42962412882,175374.56036703655,126964.37083408932,161602.50664522048,153352.72461556442,195906.4567431646,132746.23605060062,169424.27784439508,122775.90971282293,,125784.4271901439,104005.22235980436,152442.95664962014,99083.38814931516,112630.68838389216,127503.64654194983,115469.40855766098,109648.95172742727,151277.1122457724,,131436.0334018468,135688.35899924632,107796.32193700658,99040.58503515006,120094.67443326343,86333.15621245196,86682.51943524553,98479.8799566901,73437.56961910203,121710.6618127545,,162033.35363880396,84888.59994945295,96355.61537558236,87834.7072520413,147889.11764002865,,81317.06518705249,109089.17645143032,114901.50775132811,91262.65688651615,105495.8527477404
2000-02-01,123664.64632460715,188317.70564429223,107146.07235917496,153133.89055027347,169322.8872186949,111127.42292154886,117246.81884869019,195091.09421087237,134917.76613930383,174894.03964110548,175997.26655018868,127066.12096511738,162131.07349948055,153371.89417969112,195815.81838968824,133197.19580876437,169517.1025661764,123054.71257255429,,126207.82219567057,104205.83903816089,152421.8131906722,99295.32001281988,112879.33157569976,127697.62685830629,115662.75908435688,109740.42183767658,151609.78668962233,,132033.7932355553,135842.47230911907,108154.96227734652,99213.05034074673,120059.81935043022,86448.53636044689,86634.98001358542,98344.47239446585,73434.42609686495,121636.87893988911,,162650.6585855434,84932.42751686284,96468.55158085257,87851.94937099706,148119.19916653266,,81350.60868280564,108857.3979912173,115085.18256087032,91437.05553905843,105560.32028355365
2000-03-01,124003.04432077329,189169.5366121312,107426.80163641095,153656.97385906408,169757.23585237694,111156.69687279857,117483.10862963542,195863.51225872827,135231.71355207244,175295.5569022547,176685.42130397764,127286.05843868891,162881.05536127265,153609.2427066297,196116.49528494725,133735.53308200833,169662.8371659258,123376.40451107419,,126601.7423644602,104361.73505923408,152529.82379951925,99494.47903578625,113081.93804444412,127897.42268929341,115966.40937413194,109833.71132548817,151913.70812636253,,132661.53938940706,135996.50501826606,108475.18230266019,99328.6054509587,120194.17282594768,86579.44485513835,86632.91185969011,98192.38796725334,73458.1633821062,121683.62693557888,,163295.2275551291,85012.169982078,96637.6354125126,87953.53020896231,148405.67137701143,,81506.96566316974,108533.04118557781,115255.4153282264,91601.69517742954,105658.08871903822
2000-04-01,124642.50398840186,191018.60765235833,107997.45205201901,154781.98385740822,170719.54911962265,111301.98608875548,117953.79694400197,197384.85010764806,135872.77607512823,176105.9213833094,178224.1105941276,127803.45844348245,164489.17079747157,154153.16891465688,196638.07073155124,134543.6519528358,170028.4877996477,124053.70724655646,,127526.42161863204,104713.19387799093,152790.45659433736,99900.33486207701,113546.383638994,128330.81513652716,116563.06428609292,110058.15846278466,152551.46714331952,,133901.8633541018,136177.14938401867,109180.64545595949,99587.48349733009,120387.11726043101,86858.95564573686,86695.40537326067,97730.0677470268,73518.24385847567,121780.68624855306,,164387.2543271078,85210.33730301185,97024.12310090828,88105.38649182148,149060.8268322877,,81791.68352717916,108095.84299927781,115519.66823833722,91957.31229170028,105945.58152125112
2000-05-01,125259.83225371834,193167.8741905416,108612.83703115123,155945.96705021957,171700.55183284558,111396.07766345401,118647.92483660794,199031.6234066981,136599.42951181915,176990.38326188127,179941.55460715844,128417.36972264423,166273.88134118993,154846.27629809701,197659.79289128364,135428.184386918,171353.62362537518,124800.74518631329,,128540.81374269341,105085.56092498422,153335.86616515653,100317.25041713349,113980.01599731822,128813.6384054299,117250.17171301671,110317.06576701452,153120.21250937763,,135137.79032850647,136449.0953228935,109845.19540514784,99876.2198935827,120772.05665541645,87134.64002703408,86999.51022464533,97506.68463742603,73635.45784563132,122097.17917701381,,165284.61082821022,85473.7071714825,97523.3531797453,88334.29624218294,149808.06078907053,,82174.1038958743,107913.95577828005,115653.6733952943,92350.21429175988,106383.9365531929
2000-06-01,125855.97188159388,195486.92654176478,109240.72797928446,157204.5547785388,172871.3686421217,111501.57722435589,119410.28593123982,200815.8717922036,137251.52862799817,177834.71854054867,181796.12055635662,129107.32767981256,168190.9033244771,155468.51565909252,198813.66934268607,136362.60671121182,172814.50798119628,125592.35395822635,,129713.6432187475,105491.1888970837,153995.2979334799,100745.72681769785,114457.66973376507,129327.24399975971,117891.7312856763,110574.01976389019,153648.12381939965,,136079.4729919864,136652.3912647055,110591.24969767554,100225.31376579526,121223.85079107882,87399.31902438878,87434.59990874714,97572.66729092707,73830.17701912062,122483.98698549549,,166173.4211880217,85763.22836939937,98075.03399570419,88592.50084405026,150632.4513646739,,82536.64660335713,107789.32492724602,115732.97395828673,92746.78885682218,106927.84387435346
2000-07-01,126579.62211747549,197936.0114662801,109871.60480435198,158336.02067821717,174196.25580907674,111570.90675908634,120299.68187966426,202927.30099421044,137914.64938979218,178752.00139527034,183675.2733337345,129855.68263973617,170010.87200285666,155950.7819452927,199967.59510108107,137659.38996427853,174279.01532729468,126392.2534457399,,131003.72589992941,105887.7370981428,154775.74751214412,101200.742328587,114921.18794395005,129828.78781078097,118530.78971757802,110851.96891848261,154087.6721546818,,136940.10666715962,137076.60515499703,111393.52798393338,100548.56136495684,121822.1519250018,87655.14976763458,87836.4174000642,98052.16063144419,74086.05794052793,122866.50770261658,,167166.80076626933,86089.65575192537,98674.81384897669,88928.36779182979,151471.2345882076,,82912.061715324,107702.41306379762,115824.82244603413,93149.52554643118,107465.52593999048
2000-08-01,127432.97749222889,200492.9854528236,110514.1205027156,159326.42684320323,175806.18209966854,111776.01076542033,121197.45875750853,205525.6351442301,138551.63125766692,179599.57479519266,185715.17895388915,130920.87635979515,171576.3663268574,156415.42027037326,201302.81366345557,139178.59509616505,174882.24585847385,127237.79754686229,,132770.5833050138,106201.28623589837,155500.0053592422,101635.10390140339,115431.44755486485,130301.75083884511,119191.491890879,111138.843546515,154557.1514489746,,137802.48794652513,137276.12908894764,112228.16188560733,100840.68030081858,122483.41376983623,87946.19630935056,88219.1189660516,98540.89774823563,74420.76927826421,123252.84080429775,,168368.58374808496,86463.07939431576,99321.56668413033,89293.08933076546,152287.43544045684,,83261.53606752987,107542.72332659231,116044.63417654646,93493.92442107794,107988.11663887587
2000-09-01,128365.5426282686,203055.89322302677,111180.09259338702,160206.49783141888,177586.4332092843,112044.97438367827,122055.5491996018,208445.34616916257,139256.12904295733,180371.07106280164,187856.5975625685,132173.5629767263,172752.29081999103,156974.62989747265,202622.627188599,140810.72591712058,175409.68770748578,128101.99131387263,,134597.15277067464,106558.38702472928,156240.21061687326,102077.67763699382,115958.22131926253,130763.38236448693,119921.92014271067,111481.59046533676,154951.92295253664,,138865.04219808333,137458.13965533263,113096.73098338609,101154.03055836986,123145.8111777801,88275.38364356641,88560.03621742102,98922.807917922,74720.47943677798,123576.25621043216,,169633.94794365315,86877.54705154822,99972.76054829989,89634.72301975265,153040.8666123097,,83579.2144024958,107765.19414005203,116313.1350438901,93853.17140161681,108501.59726383607
2000-10-01,129247.90061148281,205486.3613388387,111859.94616939874,161149.8181474263,179386.59400546804,112333.17407076909,122856.97029097578,211529.59065434066,139934.9259392698,181042.86216280318,189983.56056890488,133619.39163830323,173051.88468429845,157603.3251216243,204004.25772502992,142688.62652496155,175855.1971067858,129000.17754189037,,136466.48251754252,106981.26840023707,157021.3443511943,102502.12210241363,116476.71931130403,131251.4283642889,120800.92347323171,111813.53409790766,155348.4691113166,,139930.07029238556,137399.78618751612,113917.8971868677,101513.58495555141,123794.3951395641,88606.08671581885,89033.04282909016,99390.36428116832,75066.15383693844,123888.54494389331,,171018.69051952809,87264.75258482718,100665.01660680026,89983.99958017346,153713.68172551165,,83863.12231142925,108014.54740107128,116595.06837324992,94295.93379646668,108997.62741935613
2000-11-01,130139.75103739322,207879.91158917526,112566.42628880446,162305.45039193562,180992.53900993147,112665.7389197581,123685.98865657956,214509.48619423385,140588.6175583244,181722.56491040436,192030.3989412932,134722.82872221895,173347.42974010715,158331.3867763308,204901.74285203972,144490.7748905838,176407.48713126685,129890.17589744828,,138022.0691832147,107539.0988190585,157829.8874789887,102970.36717180673,116993.2269430714,131800.99035394416,121694.55755738204,112176.90080276453,155748.24480323016,,140950.55622775003,137541.4242224977,114904.83607645323,101920.58999053344,124397.13784763547,89037.27960487826,89535.24104918369,99952.10973065585,75518.0970741745,124137.35360289284,,172417.4352790673,87674.39933280235,101416.50062837376,90362.88362639902,154540.39575493988,,84190.1945709837,108055.26181176498,116919.53657976461,94740.36733401811,109481.77605831723
2000-12-01,131051.69824122761,210222.46772193082,113295.10024817567,163573.96947455962,182420.0200525629,113035.13865581407,124548.21099334402,217455.03149455457,141223.6049980698,182529.36855241118,193986.02625840929,135598.7140581905,173705.8133227825,159035.81044688224,205687.78224000696,146317.0564410235,176936.90836132807,130832.14221856456,,139650.39130016745,108146.450757089,158710.35393873294,103454.69851324517,117434.25770633819,132384.18965575242,122588.31089413988,112586.5155832281,156200.33407230812,,142043.94520737734,137884.63189080395,115985.76790142943,102371.25662749722,124988.51128485675,89525.12557392758,90175.24764754412,100613.47411458295,76106.43444708298,124379.42656891591,,173679.0221890881,88100.90920667497,102126.01443281815,90793.74184021779,155313.1147208856,,84580.77916178924,107952.18961514575,117252.95209531621,95233.53810662514,109943.20035935554
2001-01-01,131970.02786667735,212204.15492492318,113961.37924957329,164790.6676299896,183756.0854016412,113255.68706551375,125362.95429365932,220116.6528542582,141841.99638776854,183373.46505876395,195947.3985356572,136227.4363818048,174503.3013293276,159758.00404939335,206346.03311765162,147979.6158194478,177429.78354810053,131746.54032395044,,141118.55701674309,108819.92084265269,159437.03414223032,103932.76560088985,117947.96078763575,132986.4864206491,123381.93703058682,113054.45463594089,156710.01435868777,,143117.13703400493,140311.13600720346,117316.10240885949,102874.66947245946,125530.13168151719,90101.93397772285,90757.78158482212,101090.51405384997,76822.27915241168,124771.84743047469,,174784.40356227887,88597.05220917234,102655.34358014178,91329.68235757134,156169.78863141272,,85015.47004529151,108014.100367405,117762.06901112532,95568.15564974486,110371.33378801595
